"Source: Forbes Billionaires List Data - Forbes 400, Oct. 9, 2000. Data came from the magazine.",,,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,Wealth (in Billions),,,,,,,,,,,,,,
Sanford Weill,Weill,150,"$1,800 ",67,Travelers Group,,M,Greenwich,CT,$1.8 ,,,,,,,,,,,,,,
"Arthur L. Williams, Jr. ",Williams,150,"$1,800 ",58,Insurance,,M,Palm Beach,FL,$1.8 ,,,,,,,,,,,,,,
Pehong Chen,Chen,167,"$1,700 ",42,BroadVision,Tech,M,Atherton,CA,$1.7 ,,,,,,,,,,,,,,
Charles Bartlett Johnson,Johnson,167,"$1,700 ",67,Franklin Resources,,M,San Mateo,CA,$1.7 ,,,,,,,,,,,,,,
George B. Kaiser,Kaiser,167,"$1,700 ",57,Oil and gas,Oil and gas,M,Tulsa,OK,$1.7 ,,,,,,,,,,,,,,
Clayton Lee Mathile,Mathile,167,"$1,700 ",59,Iams Petfood,Petfood,M,Dayton,OH,$1.7 ,,,,,,,,,,,,,,
"Billy Joe ""Red"" McCombs",McCombs,167,"$1,700 ",72,"Auto Dealerships, radio",,M,San Antonio,TX,$1.7 ,,,,,,,,,,,,,,
Donald John Trump,Trump,167,"$1,700 ",54,"Real estate, casinos",,M,New York,NY,$1.7 ,,,,,,,,,,,,,,
Dennis Washington,Washington,167,"$1,700 ",66,"Mining, railroads",,M,Missoula,MT,$1.7 ,,,,,,,,,,,,,,
David S. Wetherell,Wetherell,167,"$1,700 ",45,Investments,,M,Andover,,$1.7 ,,,,,,,,,,,,,,
Ronald Burkle,Burkle,175,"$1,600 ",47,Supermarkets,,M,Los Angeles,CA,$1.6 ,,,,,,,,,,,,,,
Richard M. DeVos,DeVos,175,"$1,600 ",73,Amway,,M,Ada,MI,$1.6 ,,,,,,,,,,,,,,
Richard T. Farmer,Farmer,175,"$1,600 ",65,Cintas Corp.,,M,Cincinnati,OH,$1.6 ,,,,,,,,,,,,,,
John Hammond Krehbiel,Krehbiel,175,"$1,600 ",63,Molex Inc.,,M,Lake Forrest,IL,$1.6 ,,,,,,,,,,,,,,
Mary Alice Dorrance Malone,Malone,175,"$1,600 ",50,Inheritance (Campbell Soup),,F,Coatesville,PA,$1.6 ,,,,,,,,,,,,,,
Alfred Mann,Mann,175,"$1,600 ",75,,,M,,,$1.6 ,,,,,,,,,,,,,,
Bruce R. McCaw,McCaw,175,"$1,600 ",,,,M,,,$1.6 ,,,,,,,,,,,,,,
Keith W. McCaw,McCaw,175,"$1,600 ",46,McCaw Communications,,M,Seattle,WA,$1.6 ,,,,,,,,,,,,,,
John Elroy McCaw,McCaw,175,"$1,600 ",49,,,M,,,$1.6 ,,,,,,,,,,,,,,
"Robert Edward Rich, Sr. ",Rich,175,"$1,600 ",87,Rich Products Corp,,M,Buffalo,NY,$1.6 ,,,,,,,,,,,,,,
"Clemmie Dixon Spangler, Jr.",Spangler,175,"$1,600 ",68,Investments,,M,Charlotte,NC,$1.6 ,,,,,,,,,,,,,,
Jackson Thomas Stephens,Stephens,175,"$1,600 ",77,Investment banking,,M,Little Rock,AK,$1.6 ,,,,,,,,,,,,,,
"James Evans Stowers, Jr.",Stowers,175,"$1,600 ",76,Mutual Funds,,M,Kansas City,MO,$1.6 ,,,,,,,,,,,,,,
Jay S. Walker,Walker,175,"$1,600 ",44,Priceline.com,,M,Stamford,CT,$1.6 ,,,,,,,,,,,,,,
John Arrillaga,Arrillaga,189,"$1,500 ",63,Real estate,,M,Palo Alto,CA,$1.5 ,,,,,,,,,,,,,,
Perry Richardson Bass,Bass,189,"$1,500 ",85,"Oil, investments",,M,Fort Worth,TX,$1.5 ,,,,,,,,,,,,,,
Carl Edwin Berg,Berg,189,"$1,500 ",63,"Real estate, investments",,M,Atherton,CA,$1.5 ,,,,,,,,,,,,,,
Stephen M. Case,Case,189,"$1,500 ",42,America Online,,M,McLean,VA,$1.5 ,,,,,,,,,,,,,,
