Source: Forbes Billionaires List Data,,,,,,,,
Name and Rank,Wealth (Millions),Surname,World Rank,Age,Wealth Source,Industry,Gender,State
Mark Cuban,"$4,300",Cuban,414,61,online media,Media & Entertainment,M,Texas
John A. Sobrato,"$4,300",Sobrato,414,80,real estate,Real Estate,M,California
Charles B. Johnson,"$4,200",Johnson,426,87,money management,Finance & Investments,M,Florida
John Paulson,"$4,200",Paulson,426,64,hedge funds,Finance & Investments,M,New York
Sheldon Solow,"$4,200",Solow,426,91,real estate,Real Estate,M,New York
Stephen Bisciotti,"$4,200",Bisciotti,426,59,"staffing, Baltimore Ravens",Sports,M,Maryland
David Sun,"$4,200",Sun,426,68,computer hardware,Technology,M,California
John Tu,"$4,200",Tu,426,78,computer hardware,Technology,M,California
Neal Blue,"$4,100",Blue,437,85,defense,Manufacturing,M,California
Brian Chesky,"$4,100",Chesky,437,38,Airbnb,Technology,M,California
Joe Gebbia,"$4,100",Gebbia,437,38,Airbnb,Technology,M,California
Nathan Blecharczyk,"$4,100",Blecharczyk,437,36,Airbnb,Technology,M,California
Les Wexner,"$4,000",Wexner,451,82,retail,Fashion & Retail,M,Ohio
Ronald Lauder,"$4,000",Lauder,451,76,Estee Lauder,Fashion & Retail,M,New York
Joshua Harris,"$4,000",Harris,451,55,private equity,Finance & Investments,M,New York
Sami Mnaymneh,"$4,000",Mnaymneh,451,58,private equity,Finance & Investments,M,Florida
Tony Tamer,"$4,000",Tamer,451,62,private equity,Finance & Investments,M,New York
Russ Weiner,"$4,000",Weiner,451,49,energy drinks,Food & Beverage,M,Florida
Jerry Speyer,"$4,000",Speyer,451,79,real estate,Real Estate,M,New York
Janice McNair,"$4,000",McNair,451,83,"energy, sports",Sports,F,Texas
Jack Dangermond,"$4,000",Dangermond,451,74,mapping software,Technology,M,California
Margot Birmingham Perot,"$4,000",Birmingham Perot,451,86,"computer services, real estate",Technology,F,Texas
Ken Fisher,"$3,900",Fisher,468,69,money management,Finance & Investments,M,Washington
Isaac Perlmutter,"$3,900",Perlmutter,468,77,Marvel comics,Media & Entertainment,M,Florida
