Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,,,,,,,,,,,,,
Dennis Washington,Washington,290,"$5,900 ",85,"construction, mining",Logistics,M,Missoula,MT,,,,,,,,,,,,,
Dannine Avara,Avara,290,"$5,900 ",55,pipelines,Energy,F,Houston,TX,,,,,,,,,,,,,
Scott Duncan,Duncan,290,"$5,900 ",37,pipelines,Energy,M,Houston,TX,,,,,,,,,,,,,
Milane Frantz,Frantz,290,"$5,900 ",50,pipelines,Energy,F,Houston,TX,,,,,,,,,,,,,
Randa Duncan Williams,Williams,290,"$5,900 ",58,pipelines,Energy,F,Houston,TX,,,,,,,,,,,,,
Travis Kalanick,Kalanick,298,"$5,800 ",43,Uber,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Karen Pritzker,Pritzker,379,"$4,800 ",62,"hotels, investments",Service,F,Branford,CT,,,,,,,,,,,,,
Nancy Walton Laurie,Laurie,303,"$5,700 ",68,Walmart,Fashion & Retail,F,Henderson,NV,,,,,,,,,,,,,
John Morris,Morris,303,"$5,700 ",71,sporting goods retail,Fashion & Retail,M,Springfield,MO,,,,,,,,,,,,,
Jim Davis,Davis,311,"$5,600 ",76,New Balance,Manufacturing,M,Newton,MA,,,,,,,,,,,,,
Whitney MacMillan,MacMillan,311,"$5,600 ",90,Cargill,Food & Beverage,M,Minneapolis,MN,,,,,,,,,,,,,
Stewart and Lynda Resnick,Resnick,311,"$5,600 ",,"agriculture, water",Food & Beverage,,Beverly Hills,CA,,,,,,,,,,,,,
Charles Dolan,Dolan,317,"$5,500 ",93,cable television,Media & Entertainment,M,Oyster Bay,NY,,,,,,,,,,,,,
Henry Kravis,Kravis,317,"$5,500 ",76,private equity,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
George Roberts,Roberts,317,"$5,500 ",76,private equity,Finance & Investments,M,Atherton,CA,,,,,,,,,,,,,
Sam Zell,Zell,317,"$5,500 ",78,"real estate, private equity",Real Estate,M,Chicago,IL,,,,,,,,,,,,,
George Lucas,Lucas,325,"$5,400 ",75,Star Wars,Media & Entertainment,M,San Anselmo,CA,,,,,,,,,,,,,
"Edward Roski, Jr.",Roski,325,"$5,400 ",81,real estate,Real Estate,M,Los Angeles,CA,,,,,,,,,,,,,
Robert Rowling,Rowling,334,"$5,300 ",66,"hotels, investments",Energy,M,Dallas,TX,,,,,,,,,,,,,
Bruce Kovner,Kovner,337,"$5,200 ",74,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Bernard Marcus,Marcus,337,"$5,200 ",90,Home Depot,Fashion & Retail,M,Atlanta,GA,,,,,,,,,,,,,
Sheldon Solow,Solow,337,"$5,200 ",91,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
Jack Dorsey,Dorsey,343,"$5,100 ",43,"Twitter, Square",Technology,M,San Francisco,CA,,,,,,,,,,,,,
"Paul Tudor Jones, II.",Jones,343,"$5,100 ",65,hedge funds,Finance & Investments,M,Palm Beach,FL,,,,,,,,,,,,,
Martha Ingram,Ingram,355,"$5,000 ",84,"book distribution, transportation",Media & Entertainment,F,Nashville,TN,,,,,,,,,,,,,
Charles B. Johnson,Johnson,355,"$5,000 ",87,money management,Finance & Investments,M,Palm Beach,FL,,,,,,,,,,,,,
John Paulson,Paulson,355,"$5,000 ",64,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Robert F. Smith,Smith,355,"$5,000 ",57,private equity,Finance & Investments,M,Austin,TX,,,,,,,,,,,,,
Ted Lerner,Lerner,365,"$4,900 ",94,real estate,Real Estate,M,Chevy Chase,MD,,,,,,,,,,,,,
J. Christopher Reyes,Reyes,365,"$4,900 ",66,food distribution,Food & Beverage,M,Hobe Sound,FL,,,,,,,,,,,,,
Jude Reyes,Reyes,365,"$4,900 ",64,food distribution,Food & Beverage,M,Palm Beach,FL,,,,,,,,,,,,,
Robert Bass,Bass,365,"$4,900 ",71,"oil, investments",Energy,M,Fort Worth,TX,,,,,,,,,,,,,
David Filo,Filo,379,"$4,800 ",53,Yahoo,Technology,M,Palo Alto,CA,,,,,,,,,,,,,
Vincent McMahon,McMahon,691,"$3,200 ",74,entertainment,Sports,M,Greenwich,CT,,,,,,,,,,,,,
"Robert Rich, Jr.",Rich,379,"$4,800 ",78,frozen foods,Food & Beverage,M,Islamorada,FL,,,,,,,,,,,,,
Leonard Stern,Stern,379,"$4,800 ",81,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
Daniel Ziff,Ziff,379,"$4,800 ",48,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Dirk Ziff,Ziff,379,"$4,800 ",55,investments,Finance & Investments,M,North Palm Beach,FL,,,,,,,,,,,,,
Robert Ziff,Ziff,379,"$4,800 ",53,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Arthur Blank,Blank,394,"$4,700 ",77,Home Depot,Sports,M,Atlanta,GA,,,,,,,,,,,,,
Tilman Fertitta,Fertitta,394,"$4,700 ",62,"Houston Rockets, entertainment",Food & Beverage,M,Houston,TX,,,,,,,,,,,,,
